-0.96	0.38	9.74
0.11	-0.42	0.29
-2.31	-3.98	-3.94
-0.91	0.28	9.42
0.11	-0.43	0.29
-3.05	-1.84	-3.74
-0.82	0.21	9.51
0.11	-0.42	0.29
-6.3	-4.04	-6.02
-0.84	0.15	9.59
0.11	-0.42	0.29
1.65	-0.72	-6.52
-0.82	0.37	9.71
0.11	-0.42	0.29
-4.61	-5.78	-5.35
-0.88	0.32	9.6
0.11	-0.42	0.29
0.48	0.24	-6.05
-0.75	0.25	9.7
0.11	-0.43	0.29
-0.07	-1.13	-5.07
-0.6	0.19	9.63
0.11	-0.43	0.29
-1.1	-0.52	-5.2
-0.74	0.32	9.55
0.11	-0.43	0.29
-4.59	-5.49	-4.84
-0.81	0.26	9.44
0.11	-0.42	0.29
-2.63	-2.14	-6.64
-0.55	0.09	9.49
0.11	-0.42	0.29
-0.56	-0.6	-6.12
-0.65	0.16	9.56
0.11	-0.42	0.29
-1.66	-3.19	-6.8
-0.68	0.28	9.55
0.11	-0.43	0.29
-0.72	-1.78	-4.67
-0.63	0.19	9.45
0.1	-0.42	0.3
-0.22	2.16	-0.71
-0.61	0.12	9.52
0.1	-0.43	0.29
-0.08	-0.19	-7.11
-0.56	0.18	9.41
0.11	-0.42	0.29
2.3	4.28	-4.13
-0.55	0.11	9.75
0.11	-0.42	0.29
-5.46	-5.19	-5.55
-0.47	0.06	9.58
0.1	-0.42	0.3
0.8	2.28	-7.63
-0.4	-0.03	9.64
0.1	-0.42	0.3
-1.54	-1.03	-5.15
-0.51	0.17	9.53
0.11	-0.42	0.3
-1.47	-1.51	-6.31
-0.54	0.11	9.7
0.11	-0.42	0.29
-1.58	-1.36	-7.37
-0.57	0.12	9.59
0.11	-0.42	0.29
-2.96	-1.37	-4.15
-0.59	0.16	9.42
0.11	-0.42	0.29
4.76	5.04	-6.13
-1.68	1.35	9.91
0.12	-0.45	0.27
19.21	28.52	7.47
-4.72	7.09	5.59
0.18	-0.53	0.07
77.22	76.04	10.4
-6.89	4.41	3.09
0.22	-0.49	-0.03
-7.36	-13.27	-44.85
-8.03	6.28	2.54
0.21	-0.49	-0.05
-7.45	-0.53	-3.68
-7.98	6.41	2.86
0.21	-0.49	-0.05
-0.02	1.13	-6.25
-7.88	6.41	3.13
0.21	-0.49	-0.05
0.87	-3.4	-5.44
-8.02	6.31	2.86
0.2	-0.49	-0.05
1.59	-1.24	-5.32
-8.23	6.35	2.49
0.2	-0.49	-0.06
3.3	1.74	-1.76
-7.97	6.51	2.11
0.2	-0.49	-0.06
-0.61	1.21	-6.15
-8.01	6.55	2.56
0.2	-0.49	-0.06
-2.54	-1.23	-4.87
-8.05	6.47	2.37
0.2	-0.49	-0.06
-2.16	-0.4	-5.65
-8.12	6.48	2.27
0.2	-0.49	-0.06
-1.54	-0.02	-5.76
-7.88	6.73	2.11
0.2	-0.49	-0.07
3.79	-3.57	-3.21
-7.46	6.84	2.75
0.19	-0.49	-0.07
-13.88	-0.45	-4.69
-7.67	7.04	1.53
0.19	-0.48	-0.09
2.88	-5.47	-7.95
-7.66	7.11	1.69
0.19	-0.49	-0.08
-15.13	-10.47	-5.93
-7.74	6.91	2.4
0.19	-0.49	-0.07
-3.43	-2.34	-5.13
-7.55	6.99	2.45
0.19	-0.49	-0.07
-5.69	-23.07	-6.42
-7.75	6.93	2.3
0.19	-0.49	-0.07
3.5	1.49	-6.97
-7.85	6.93	2.06
0.19	-0.49	-0.07
-1.5	-4.73	-7.32
-7.87	6.68	1.99
0.19	-0.49	-0.07
0.68	6.12	-9.17
-7.95	6.91	1.63
0.18	-0.49	-0.08
-4.82	1.07	-3.78
-7.75	6.87	1.77
0.18	-0.49	-0.08
-3.91	-0.8	-5.68
-7.76	7.04	1.9
0.18	-0.49	-0.08
-3.26	-1.37	-3.96
-7.73	6.95	1.93
0.17	-0.49	-0.07
-6.54	5.1	-4.12
-7.8	6.9	1.56
0.16	-0.5	-0.08
-8.56	13.16	-1.92
-7.61	7.08	1.5
0.13	-0.52	-0.07
-15.54	25.06	3.19
-6.94	7.89	0.77
0.1	-0.53	-0.08
-9.85	9.22	-8.2
-8.88	7.29	1.39
0.12	-0.53	-0.06
-0.44	-9.34	-8.79
-7.86	5.84	1.35
0.11	-0.54	-0.07
-7.88	16.96	-8.78
-7.69	6.9	1.64
0.09	-0.54	-0.07
-5.94	-5.61	4.88
-6.07	6.92	0.77
0.09	-0.53	-0.07
-4.81	-10.87	-6.32
-9.62	6.14	1.35
0.18	-0.48	-0.09
60.56	-65.13	-23.16
-7.66	6.9	1.21
0.25	-0.42	-0.09
29.29	-31.74	-10.19
-6.99	6.66	0.67
0.26	-0.4	-0.09
21.74	-39.74	-10.46
-7.43	6.97	1.56
0.32	-0.35	-0.02
32.8	-39.77	-20.05
-7.89	6.58	0.75
0.33	-0.32	0.04
46.81	-17.25	-13.5
-8.57	7.6	1.56
0.34	-0.31	0.05
-12.83	-5.92	-6.11
-7.78	6.27	1.92
0.34	-0.31	0.04
-3.6	-6.91	-8.28
-7.8	6.8	1.78
0.34	-0.31	0.06
-2.97	-3.11	-3.75
-7.79	6.97	1.62
0.34	-0.31	0.05
-11.59	6.23	-5.31
-7.91	6.76	1.93
0.34	-0.31	0.05
-3.34	-6.42	-8.55
-7.89	6.74	2.3
0.34	-0.31	0.06
2.32	-8.01	-7.91
-7.9	6.65	2.14
0.34	-0.3	0.06
-3.02	0.11	-5.86
-7.76	6.84	2.36
0.34	-0.31	0.07
-1.83	-3.89	-4
-7.73	6.77	2.1
0.34	-0.31	0.07
-2.2	-2	-6.06
-7.92	6.65	2.17
0.34	-0.31	0.06
-3.98	2.45	-10.29
-7.88	6.5	2.33
0.34	-0.3	0.07
-1.47	-5.3	-7.92
-8.13	6.49	2.25
0.34	-0.29	0.07
0	-3.08	-9.42
-8.17	6.34	2.36
0.34	-0.29	0.07
-3.87	0.81	-6.19
-8.27	6.15	2.1
0.34	-0.29	0.06
-4.27	3.28	-4.73
-8.18	6.42	2.14
0.34	-0.3	0.05
-11.43	9.52	-1.47
-7.92	6.44	2.19
0.34	-0.3	0.04
-5.09	3.77	-3.49
-8.17	6.58	1.93
0.33	-0.31	0.03
-6.09	15.92	3.76
-8.13	7.04	2.24
0.33	-0.32	0.01
-5.93	-7.27	-7.34
-7.8	6.81	1.72
0.33	-0.32	0.02
5.02	0.46	-5.81
-7.94	6.27	2.02
0.33	-0.32	0.02
-2.21	-3.77	-7.04
-8.1	6.9	2.2
